student_id,lms_logins_per_week,attendance_rate,avg_submission_delay_days,gpa_trend,sleep_irregularity_score,social_activity_drop,sentiment_score,weekend_activity_ratio,burnout_score,burnout_level,dropout_probability
STU0281,10.7,1.0,3.75,-0.137,0.21,0.267,0.588,0.267,43.1,Medium,0.197
STU0282,6.88,0.951,3.28,0.056,0.291,0.058,0.644,0.76,47.5,Medium,0.28
STU0283,4.08,0.91,1.47,0.453,0.55,0.099,0.633,0.32,52.9,Medium,0.414
STU0284,7.76,0.84,2.48,0.182,0.282,0.321,0.484,0.353,46.8,Medium,0.288
STU0285,8.1,0.837,0.11,0.153,0.207,0.093,0.239,0.39,32.1,Low,0.003
STU0286,7.88,0.876,0.61,-0.129,0.162,0.335,0.404,0.263,33.6,Medium,0.238
STU0287,5.25,0.737,0.56,-0.445,0.369,0.084,0.581,0.192,43.4,Medium,0.329
STU0288,9.03,0.532,1.51,-0.063,0.144,0.42,0.53,0.073,44.7,Medium,0.335
STU0289,3.31,0.4,0.66,0.362,0.39,0.26,0.895,0.524,59.8,Medium,0.467
STU0290,5.54,0.891,0.24,-0.458,0.517,0.298,0.811,0.587,38.7,Medium,0.255
STU0291,3.87,0.486,1.36,-0.317,0.115,0.269,0.817,0.724,49.7,Medium,0.336
STU0292,9.36,0.665,2.53,0.038,0.204,0.166,0.808,0.691,47.1,Medium,0.349
STU0293,4.4,0.926,0.72,-0.295,0.542,0.454,0.591,0.19,48.4,Medium,0.309
STU0294,2.38,0.807,0.21,-0.238,0.215,0.513,0.779,0.275,47.3,Medium,0.417
STU0295,8.01,0.857,0.33,-0.127,0.131,0.19,0.495,0.374,32.2,Low,0.075
STU0296,8.03,0.75,0.41,-0.41,0.233,0.24,1.0,0.3,26.7,Low,0.145
STU0297,3.02,0.609,0.53,-0.292,0.525,0.135,0.716,0.523,57.8,Medium,0.475
STU0298,9.82,1.0,1.54,0.211,0.284,0.013,0.391,0.647,33.3,Medium,0.141
STU0299,6.93,0.954,1.38,-0.392,0.163,0.173,0.859,0.196,36.7,Medium,0.217
STU0300,5.3,0.999,1.79,-0.479,0.497,0.505,0.704,0.053,47.6,Medium,0.382
STU0301,1.03,0.294,0.68,-0.189,0.64,0.263,0.825,0.643,70.4,High,0.699
STU0302,8.89,0.913,2.61,0.22,0.329,0.051,0.371,0.564,43.1,Medium,0.304
STU0303,7.75,0.223,0.34,-0.059,0.136,0.314,0.528,0.178,50.2,Medium,0.333
STU0304,7.87,0.146,0.95,-0.139,0.427,0.437,0.722,0.242,54.6,Medium,0.436
STU0305,9.44,0.866,2.42,0.013,0.27,0.149,0.074,0.084,46.2,Medium,0.419
STU0306,1.66,0.615,0.3,-0.524,0.172,0.034,0.439,0.549,47.0,Medium,0.405
STU0307,5.67,0.948,0.17,0.148,0.111,0.19,0.723,0.431,30.9,Low,0.182
STU0308,10.92,0.6,3.23,0.115,0.232,0.441,0.319,0.647,47.1,Medium,0.378
STU0309,3.26,0.494,0.63,-0.123,0.488,0.137,0.738,0.642,50.5,Medium,0.416
STU0310,7.0,0.645,1.73,0.302,0.314,0.152,0.772,0.366,48.0,Medium,0.408
STU0311,2.46,0.714,0.04,-0.338,0.554,0.274,0.644,0.149,51.8,Medium,0.374
STU0312,8.81,0.715,1.76,0.338,0.624,0.138,0.679,0.088,43.8,Medium,0.23
STU0313,6.91,0.953,0.57,0.046,0.129,0.221,0.624,0.146,34.7,Medium,0.188
STU0314,8.98,0.5,0.09,-0.101,0.11,0.447,0.861,0.261,35.8,Medium,0.157
STU0315,8.31,0.615,1.41,-0.006,0.113,0.117,0.232,0.316,46.9,Medium,0.283
STU0316,11.24,0.803,0.41,-0.032,0.215,0.008,0.671,0.266,21.8,Low,0.0
STU0317,11.82,0.974,0.73,0.366,0.547,0.181,0.45,0.65,37.7,Medium,0.346
STU0318,2.11,0.857,0.13,-0.323,0.755,0.176,0.362,0.498,55.5,Medium,0.45
STU0319,7.86,1.0,0.24,-0.229,0.439,0.398,0.263,0.725,44.1,Medium,0.319
STU0320,11.43,0.629,0.53,0.311,0.172,0.276,0.38,0.321,33.2,Medium,0.104
STU0321,6.83,0.945,0.14,-0.179,0.504,0.113,0.3,0.461,34.2,Medium,0.086
STU0322,12.48,0.791,3.63,0.27,0.437,0.109,0.523,0.743,45.4,Medium,0.276
STU0323,5.98,0.755,0.01,0.51,0.564,0.34,0.515,0.736,47.7,Medium,0.418
STU0324,9.39,0.544,0.99,-0.121,0.342,0.014,0.793,0.036,34.1,Medium,0.193
STU0325,12.25,1.0,0.2,0.204,0.021,0.147,0.582,0.21,10.1,Low,0.0
STU0326,3.36,0.531,0.55,-0.346,0.054,0.082,0.762,0.077,44.9,Medium,0.348
STU0327,6.48,0.719,3.91,0.226,0.199,0.135,0.237,0.435,61.7,Medium,0.491
STU0328,11.97,0.681,0.26,0.06,0.161,0.042,0.773,0.568,13.6,Low,0.0
STU0329,9.39,0.847,5.06,0.142,0.423,0.078,0.412,0.291,60.7,Medium,0.478
STU0330,8.26,0.561,0.35,-0.194,0.099,0.105,0.452,0.601,35.5,Medium,0.264
STU0331,10.07,1.0,2.03,-0.498,0.547,0.418,0.692,0.317,35.8,Medium,0.219
STU0332,8.13,0.702,1.19,0.151,0.326,0.125,0.406,0.206,46.1,Medium,0.237
STU0333,8.74,1.0,3.24,-0.619,0.218,0.148,0.739,0.368,38.5,Medium,0.194
STU0334,8.13,0.761,1.21,-0.095,0.406,0.172,0.377,0.113,48.0,Medium,0.261
STU0335,5.54,0.807,1.15,0.282,0.446,0.473,0.875,0.621,48.4,Medium,0.413
STU0336,7.43,0.542,0.33,0.058,0.491,0.083,0.288,0.771,48.8,Medium,0.358
STU0337,12.6,1.0,0.27,0.585,0.412,0.458,0.346,0.614,26.7,Low,0.0
STU0338,4.65,1.0,3.72,0.308,0.433,0.397,0.38,0.561,64.2,Medium,0.571
STU0339,11.11,0.179,0.6,-0.196,0.103,0.397,0.148,0.566,48.1,Medium,0.325
STU0340,7.54,0.798,0.7,0.008,0.397,0.068,0.823,0.329,32.3,Low,0.079
STU0341,9.7,0.693,2.14,-0.014,0.338,0.038,0.372,0.558,46.2,Medium,0.411
STU0342,10.22,0.509,0.62,-0.475,0.529,0.126,0.193,0.266,46.8,Medium,0.34
STU0343,9.04,0.656,4.56,-0.282,0.251,0.33,0.101,0.335,65.2,Medium,0.55
STU0344,5.77,0.597,2.01,-0.168,0.538,0.074,0.428,0.535,62.2,Medium,0.507
STU0345,11.58,0.703,1.36,-0.611,0.435,0.031,0.707,0.342,32.8,Low,0.084
STU0346,9.86,1.0,3.19,0.014,0.35,0.287,0.693,0.396,40.8,Medium,0.195
STU0347,7.94,0.709,0.08,-0.075,0.105,0.098,0.381,0.29,31.6,Low,0.209
STU0348,8.21,1.0,0.45,-0.502,0.16,0.361,0.557,0.61,30.6,Low,0.109
STU0349,4.92,0.699,0.94,0.121,0.464,0.43,0.8,0.438,52.1,Medium,0.402
STU0350,9.19,0.926,0.39,0.215,0.39,0.095,0.717,0.628,30.3,Low,0.027
STU0351,11.53,0.47,2.04,0.068,0.221,0.14,0.426,0.166,42.0,Medium,0.209
STU0352,3.94,0.582,3.77,-0.097,0.035,0.153,0.594,0.255,60.4,Medium,0.536
STU0353,4.22,0.366,0.83,0.177,0.121,0.324,0.67,0.471,56.7,Medium,0.478
STU0354,9.13,0.773,0.63,0.204,0.424,0.166,0.485,0.616,38.3,Medium,0.317
STU0355,4.34,0.901,4.89,0.092,0.141,0.609,0.723,0.328,62.0,Medium,0.592
STU0356,6.66,0.623,0.88,-0.247,0.676,0.113,0.918,0.738,51.1,Medium,0.377
STU0357,6.75,0.412,1.01,0.083,0.857,0.374,0.703,0.178,57.7,Medium,0.495
STU0358,4.55,0.601,0.65,0.359,0.262,0.549,0.491,0.4,56.9,Medium,0.445
STU0359,10.47,0.83,3.6,-0.179,0.51,0.33,0.521,0.671,48.0,Medium,0.453
STU0360,9.38,0.551,1.26,0.629,0.398,0.101,0.408,0.743,51.4,Medium,0.45
STU0361,8.36,0.755,2.15,-0.158,0.505,0.014,0.409,0.37,43.7,Medium,0.305
STU0362,6.45,0.436,2.51,0.01,0.757,0.482,0.636,0.104,74.4,High,0.69
STU0363,8.98,0.647,0.63,-0.202,0.327,0.163,0.629,0.348,37.2,Medium,0.287
STU0364,1.28,0.746,0.85,0.067,0.653,0.191,0.839,0.192,56.8,Medium,0.489
STU0365,3.23,0.589,2.83,-0.523,0.424,0.803,0.703,0.395,73.5,High,0.747
STU0366,7.49,0.895,0.68,-0.164,0.624,0.46,0.871,0.419,43.1,Medium,0.179
STU0367,6.86,0.309,2.37,-0.328,0.043,0.325,0.371,0.269,57.4,Medium,0.49
STU0368,8.76,0.818,4.25,0.041,0.729,0.245,0.508,0.53,60.3,Medium,0.478
STU0369,7.1,0.656,1.46,0.298,0.79,0.333,0.787,0.543,57.0,Medium,0.551
STU0370,4.98,0.845,2.03,0.194,0.517,0.833,0.731,0.498,54.8,Medium,0.512
STU0371,10.88,0.912,2.45,-0.711,0.068,0.441,0.655,0.481,32.1,Low,0.153
STU0372,5.74,0.816,2.8,0.613,0.32,0.314,0.274,0.358,67.4,High,0.669
STU0373,5.82,1.0,0.75,0.089,0.147,0.128,0.714,0.344,28.3,Low,0.192
STU0374,12.59,0.335,0.08,-0.233,0.477,0.387,0.508,0.32,45.2,Medium,0.318
STU0375,2.44,0.388,0.77,0.047,0.116,0.214,0.748,0.398,53.3,Medium,0.54
STU0376,6.02,0.546,1.68,0.053,0.624,0.629,0.49,0.235,67.6,High,0.593
STU0377,7.85,0.901,0.9,-0.2,0.267,0.236,0.183,0.546,42.4,Medium,0.269
STU0378,5.73,0.81,2.07,0.059,0.243,0.091,0.718,0.451,47.9,Medium,0.392
STU0379,4.78,0.271,0.66,-0.182,0.209,0.143,0.395,0.292,57.0,Medium,0.445
STU0380,6.49,0.744,1.51,-0.121,0.204,0.196,0.9,0.195,45.8,Medium,0.326
STU0381,5.05,0.695,0.31,-0.206,0.283,0.485,0.579,0.113,45.8,Medium,0.394
STU0382,10.29,0.724,2.08,-0.43,0.028,0.175,0.565,0.329,35.8,Medium,0.198
STU0383,0.76,0.33,1.18,0.044,0.46,0.079,0.776,0.312,68.0,High,0.515
STU0384,8.05,0.598,0.34,0.176,0.173,0.113,0.426,0.69,35.0,Medium,0.206
STU0385,5.65,0.987,0.52,0.154,0.504,0.044,0.317,0.217,40.8,Medium,0.225
STU0386,7.83,0.993,2.07,0.246,0.535,0.315,0.554,0.264,46.1,Medium,0.369
STU0387,8.83,0.759,0.99,0.097,0.533,0.197,0.642,0.086,39.8,Medium,0.282
STU0388,3.64,0.842,0.37,-0.16,0.416,0.383,0.322,0.467,59.3,Medium,0.565
STU0389,7.8,0.823,5.13,0.252,0.39,0.413,0.263,0.265,65.0,Medium,0.608
STU0390,2.1,0.635,1.88,-0.407,0.618,0.234,0.388,0.474,73.5,High,0.723
STU0391,2.82,0.488,4.72,-0.27,0.418,0.482,0.53,0.37,86.9,High,0.803
STU0392,9.29,0.425,0.84,-0.289,0.411,0.039,0.829,0.536,40.9,Medium,0.302
STU0393,6.03,0.977,0.97,0.324,0.467,0.383,0.609,0.616,40.7,Medium,0.357
STU0394,11.28,0.502,3.42,0.283,0.766,0.498,0.679,0.262,60.3,Medium,0.47
STU0395,7.28,1.0,1.12,0.146,0.787,0.246,0.437,0.446,45.7,Medium,0.412
STU0396,5.58,0.313,1.84,0.322,0.055,0.161,0.226,0.281,54.9,Medium,0.408
STU0397,6.39,1.0,0.44,-0.264,0.577,0.568,0.521,0.72,41.8,Medium,0.23
STU0398,5.65,0.629,0.89,0.105,0.111,0.118,0.791,0.495,35.6,Medium,0.21
STU0399,5.17,0.242,0.2,-0.038,0.328,0.269,0.657,0.233,59.6,Medium,0.531
STU0400,3.27,0.908,0.35,0.254,0.116,0.15,0.438,0.392,42.5,Medium,0.326
STU0401,9.13,0.769,0.0,-0.035,0.216,0.129,0.033,0.311,38.1,Medium,0.179
STU0402,8.5,0.805,0.06,-0.115,0.059,0.071,0.461,0.74,29.0,Low,0.134
STU0403,10.72,0.858,5.68,0.162,0.538,0.535,0.047,0.141,67.7,High,0.561
STU0404,7.16,0.814,0.42,0.263,0.464,0.11,0.902,0.474,39.0,Medium,0.163
STU0405,10.48,0.497,1.63,-0.201,0.816,0.174,0.777,0.523,49.0,Medium,0.316
STU0406,5.81,0.69,2.74,-0.018,0.513,0.364,0.604,0.62,61.5,Medium,0.482
STU0407,6.43,0.816,1.2,-0.318,0.058,0.247,0.467,0.081,42.1,Medium,0.302
STU0408,11.14,0.458,0.25,-0.749,0.594,0.153,0.829,0.613,33.8,Medium,0.231
STU0409,9.8,0.94,1.95,0.06,0.155,0.144,0.743,0.4,39.0,Medium,0.163
STU0410,9.71,0.688,1.38,0.183,0.366,0.253,0.395,0.149,43.6,Medium,0.313
STU0411,2.86,0.283,1.97,0.079,0.097,0.155,0.578,0.253,64.6,Medium,0.498
STU0412,7.88,0.697,2.2,-0.585,0.72,0.387,0.481,0.433,63.1,Medium,0.571
STU0413,10.32,0.685,5.56,-0.105,0.157,0.374,0.3,0.457,62.5,Medium,0.5
STU0414,8.97,0.54,1.28,-0.666,0.182,0.277,0.415,0.402,45.2,Medium,0.262
STU0415,9.61,0.466,0.63,0.411,0.655,0.348,0.603,0.542,50.2,Medium,0.417
STU0416,11.05,0.514,1.57,-0.326,0.222,0.162,0.557,0.481,35.3,Medium,0.162
STU0417,3.38,0.625,0.11,0.377,0.31,0.25,0.7,0.709,46.5,Medium,0.315
STU0418,5.55,0.377,3.42,0.284,0.431,0.146,0.535,0.385,71.5,High,0.532
STU0419,11.3,0.648,0.19,-0.27,0.694,0.542,0.508,0.669,44.7,Medium,0.356
STU0420,8.55,0.583,0.6,-0.34,0.152,0.097,0.466,0.205,41.4,Medium,0.309
STU0421,1.22,0.355,2.54,0.105,0.093,0.235,0.737,0.245,67.5,High,0.595
STU0422,1.69,0.936,1.36,-0.253,0.029,0.277,0.345,0.264,45.8,Medium,0.247
STU0423,6.14,0.619,0.75,0.031,0.22,0.237,0.712,0.667,46.3,Medium,0.39
STU0424,7.96,1.0,0.96,-0.145,0.236,0.497,0.681,0.166,38.5,Medium,0.198
STU0425,4.62,0.632,2.89,-0.534,0.399,0.19,0.571,0.347,64.9,Medium,0.539
STU0426,6.42,0.951,0.62,-0.669,0.448,0.264,0.902,0.016,35.0,Medium,0.304
STU0427,4.06,0.868,3.06,0.068,0.273,0.331,0.603,0.362,60.3,Medium,0.469
STU0428,7.11,1.0,0.14,-0.168,0.414,0.262,0.693,0.289,42.5,Medium,0.318
STU0429,1.53,0.72,2.25,-0.166,0.418,0.288,0.275,0.054,69.6,High,0.648
STU0430,9.27,0.676,2.82,0.209,0.171,0.138,0.559,0.523,41.0,Medium,0.282
STU0431,7.64,0.944,0.3,0.352,0.16,0.073,0.781,0.544,22.9,Low,0.051
STU0432,8.69,0.936,0.84,-0.082,0.027,0.17,0.612,0.405,28.0,Low,0.119
STU0433,1.72,0.629,0.27,-0.102,0.335,0.382,0.454,0.124,53.3,Medium,0.43
STU0434,5.54,0.729,1.84,0.15,0.351,0.27,0.427,0.512,54.6,Medium,0.43
STU0435,11.72,0.532,1.15,-0.407,0.381,0.228,0.792,0.457,37.7,Medium,0.297
STU0436,6.31,0.949,1.51,0.067,0.213,0.205,0.797,0.341,41.1,Medium,0.198
STU0437,9.97,0.302,0.33,0.166,0.318,0.627,0.632,0.613,52.3,Medium,0.455
STU0438,7.07,0.693,0.36,0.204,0.275,0.593,0.301,0.269,50.7,Medium,0.425
STU0439,4.63,0.603,0.06,-0.581,0.292,0.236,0.771,0.315,37.7,Medium,0.256
STU0440,13.14,0.83,0.58,-0.228,0.232,0.053,0.457,0.474,24.5,Low,0.112
STU0441,8.93,0.731,1.23,-0.263,0.496,0.797,0.432,0.488,54.7,Medium,0.429
STU0442,12.22,0.619,2.93,0.03,0.429,0.857,0.631,0.388,54.3,Medium,0.336
STU0443,3.76,0.583,1.65,0.144,0.134,0.495,0.442,0.614,54.3,Medium,0.425
STU0444,2.52,0.628,0.86,0.449,0.097,0.215,0.761,0.076,46.2,Medium,0.279
STU0445,9.05,0.93,4.59,-0.148,0.161,0.591,0.583,0.834,49.9,Medium,0.338
STU0446,7.73,0.884,1.91,-0.149,0.181,0.448,0.644,0.805,35.4,Medium,0.131
STU0447,6.7,1.0,3.99,0.345,0.249,0.262,0.576,0.551,51.5,Medium,0.37
STU0448,9.27,0.774,1.12,0.089,0.027,0.298,0.885,0.49,26.2,Low,0.048
STU0449,5.93,0.776,0.45,0.38,0.198,0.088,0.831,0.369,42.0,Medium,0.156
STU0450,4.24,0.775,0.08,0.087,0.25,0.472,0.622,0.183,44.3,Medium,0.339
STU0451,3.61,0.552,1.94,-0.347,0.297,0.435,0.736,0.623,64.6,Medium,0.669
STU0452,7.51,1.0,0.19,-0.4,0.428,0.225,0.511,0.221,29.0,Low,0.143
STU0453,3.88,0.793,0.54,-0.465,0.102,0.07,0.559,0.191,38.7,Medium,0.224
STU0454,11.04,0.908,1.14,0.199,0.22,0.132,0.962,0.796,22.0,Low,0.022
STU0455,9.28,0.901,1.25,0.357,0.102,0.112,0.364,0.142,29.0,Low,0.092
STU0456,9.87,0.326,1.38,0.555,0.416,0.388,0.222,0.217,56.3,Medium,0.458
STU0457,11.4,0.937,0.27,0.253,0.129,0.241,0.386,0.449,22.1,Low,0.024
STU0458,8.53,0.639,0.72,0.349,0.279,0.455,0.583,0.302,41.9,Medium,0.231
STU0459,5.14,1.0,1.44,-0.174,0.205,0.054,0.551,0.586,44.2,Medium,0.386
STU0460,3.11,0.77,5.25,-0.347,0.449,0.405,0.325,0.297,81.2,High,0.69
STU0461,7.21,0.899,1.95,0.255,0.091,0.289,0.379,0.24,43.6,Medium,0.331
STU0462,3.34,1.0,3.84,0.125,0.059,0.394,0.451,0.083,59.7,Medium,0.492
STU0463,4.01,0.542,2.15,0.032,0.252,0.125,0.671,0.549,59.0,Medium,0.582
STU0464,3.05,0.687,1.34,0.116,0.168,0.227,0.73,0.721,50.0,Medium,0.392
STU0465,9.21,0.901,0.32,0.097,0.395,0.182,0.741,0.527,27.8,Low,0.08
STU0466,5.57,0.727,1.65,0.385,0.594,0.473,0.547,0.672,59.4,Medium,0.48
STU0467,7.0,0.43,1.46,0.388,0.314,0.045,0.311,0.057,57.8,Medium,0.475
STU0468,3.88,0.792,1.38,0.163,0.306,0.077,0.779,0.444,49.3,Medium,0.309
STU0469,4.94,0.714,1.01,0.254,0.038,0.095,0.512,0.305,41.3,Medium,0.228
STU0470,9.4,0.878,1.13,0.154,0.689,0.087,0.346,0.67,45.1,Medium,0.224
STU0471,2.28,0.9,0.61,-0.138,0.221,0.098,0.816,0.944,40.4,Medium,0.209
STU0472,9.34,0.723,1.1,0.227,0.4,0.224,0.601,0.133,39.7,Medium,0.251
STU0473,10.43,0.492,0.33,-0.418,0.085,0.319,0.891,0.452,29.0,Low,0.128
STU0474,9.01,1.0,2.45,0.316,0.054,0.062,0.597,0.712,30.9,Low,0.037
STU0475,4.29,0.296,0.31,-0.358,0.239,0.214,0.221,0.049,64.0,Medium,0.544
STU0476,5.67,0.859,0.13,0.086,0.166,0.285,0.363,0.185,39.2,Medium,0.268
STU0477,3.9,0.697,0.86,-0.254,0.161,0.398,0.616,0.68,49.5,Medium,0.361
STU0478,5.89,1.0,1.61,0.166,0.26,0.029,0.578,0.769,33.8,Medium,0.141
STU0479,7.96,0.964,0.86,-0.01,0.613,0.338,0.654,0.107,39.4,Medium,0.222
STU0480,8.53,0.583,0.49,-0.478,0.226,0.285,0.643,0.541,38.1,Medium,0.199
STU0481,8.22,0.886,1.23,0.126,0.581,0.209,0.484,0.306,41.0,Medium,0.231
STU0482,5.04,0.516,0.64,-0.173,0.706,0.146,0.869,0.233,54.1,Medium,0.435
STU0483,4.1,0.481,4.05,0.264,0.213,0.082,0.426,0.574,68.9,High,0.727
STU0484,10.93,0.458,3.84,0.0,0.213,0.045,0.14,0.148,57.3,Medium,0.429
STU0485,8.61,0.872,1.05,0.119,0.148,0.383,0.815,0.155,31.9,Low,0.133
STU0486,10.71,1.0,0.6,-0.287,0.259,0.061,0.341,0.381,22.3,Low,0.026
STU0487,9.38,0.882,2.0,-0.177,0.46,0.096,0.077,0.447,45.2,Medium,0.281
STU0488,2.3,0.581,0.06,-0.138,0.224,0.313,0.569,0.729,52.6,Medium,0.463
STU0489,10.71,0.533,0.97,0.257,0.457,0.008,0.586,0.245,42.8,Medium,0.166
STU0490,6.35,0.416,0.61,0.503,0.512,0.231,0.686,0.214,54.0,Medium,0.398
STU0491,11.66,0.923,3.8,-0.242,0.221,0.171,0.313,0.293,40.7,Medium,0.299
STU0492,5.3,0.989,0.02,0.323,0.462,0.274,0.308,0.281,43.3,Medium,0.277
STU0493,13.74,1.0,1.21,-0.651,0.216,0.117,0.874,0.571,19.4,Low,0.0
STU0494,7.39,0.883,2.02,-0.358,0.67,0.202,0.379,0.419,55.4,Medium,0.465
STU0495,6.53,0.838,1.0,-0.288,0.478,0.316,0.718,0.141,45.4,Medium,0.363
STU0496,9.72,1.0,0.13,-0.406,0.756,0.529,0.814,0.467,36.8,Medium,0.221
STU0497,2.63,0.42,5.39,-0.475,0.491,0.154,0.51,0.161,89.7,High,0.832
STU0498,3.61,0.879,1.09,0.124,0.123,0.151,0.678,0.545,44.7,Medium,0.332
STU0499,9.08,0.947,1.43,-0.064,0.831,0.081,0.651,0.057,43.7,Medium,0.276
STU0500,7.83,0.416,0.4,0.114,0.502,0.2,0.578,0.684,52.7,Medium,0.446
